Tên sản phẩm,Mã sản phẩm,Mã giảm giá,Mức giảm tối thiểu,Mức giảm tối đa,Phương thức thanh toán nhận khuyến mãi,Price,Old Price,Thời gian sử dụng pin (tháng),Đối tượng sử dụng:,Đường kính mặt (mm),Độ dày mặt (mm),Nguồn năng lượng:,Mức kháng nước (ATM),Chất liệu mặt kính:,Thương hiệu của:,Bình luận
MVW Sport,ML06201,VNPAYTGDD4,50000,100000,VNPAY-QR,1290000,2190000,24.0,Nam,41.0,12.0,Pin,5.0,Kính khoáng Mineral,Việt Nam,"Hình để hộp da giao để hộp thiếc, cái hộp da sáng trọng bao nhiêi qua cái hộp thiếc phèn bấy nhiêu, ai mua tặng thì nghỉ mua nha"
ELIO Nàng Thơ,ES05101,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,990000,36.0,Nữ,32.0,7.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,Mặc dù không tiếp xúc với chất tẩy rửa gì đeo được mấy ngày thì đã rỉ xét mặt trông
CASIO,W218HC4AVDF,VNPAYTGDD4,50000,100000,VNPAY-QR,551000,848000,36.0,Unisex,43.0,11.0,Pin,5.0,Nhựa Resin,Nhật Bản,"Màu yêu, xinh"
ELIO,EL00701,VNPAYTGDD4,50000,100000,VNPAY-QR,490000,890000,12.0,Nữ,34.3,8.8,Pin,3.0,Kính khoáng Mineral,Việt Nam,Cảm thấy tốt
MVW Galaxy,MSA08801S1,VNPAYTGDD4,50000,100000,VNPAY-QR,1990000,3990000,N/A,Nam,43.0,12.4,Cơ tự động,5.0,Kính Sapphire,Việt Nam,Lộ full cơ quá đẹp chạy máy citizen thì yên tâm đúng giờ r ạ
ELIO,EC01102,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1290000,24.0,Nữ,30.0,8.3,Pin,3.0,Kính khoáng Mineral,Việt Nam,Thay cái pin mà cũng đợi đem ra 714 ngày. Làm ăn chán thật
MVW,MS05801,VNPAYTGDD4,50000,100000,VNPAY-QR,790000,1490000,36.0,Nam,43.0,10.0,Pin,5.0,Kính khoáng Mineral,Việt Nam,Mẫu này đẹp mỏng và nhẹ. Đeo vào cảm giác thoải mái. Kim và các cọc chỉ số to rõ dễ nhìn. Về chất lượng thì phải sử dụng thời gian dài mới biết được. Nói chung với giá này xài khoảng 2 năm là đủ tiền
CASIO,MTPV001L7BUDF,VNPAYTGDD4,50000,100000,VNPAY-QR,537000,716000,24.0,Nam,38.0,8.0,Pin,3.0,Kính khoáng Mineral,Nhật Bản,Dùng ổn
ELIO,EL11102,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1290000,24.0,Nữ,29.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,"Mới mua có 2 ngày mà bị hết pin rồi, không biết có phải 2 năm rồi không bán đc ko"
SMILE KID,SL215L9,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,320000,12.0,Trẻ em,37.0,13.0,Pin,5.0,Kính Acrylic (thủy tinh hữu cơ),Việt Nam,Đồng hồ đẹp màu sắc phù hợp trẻ trung năng động .
ELIO,ES024C2,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1290000,12.0,Nữ,28.0,7.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,Nhân viên nhiệt tình
MVW,MS07001,VNPAYTGDD4,50000,100000,VNPAY-QR,890000,1490000,24.0,Nam,40.0,7.0,Pin,5.0,Kính Sapphire,Việt Nam,OK hợp giá tiền
SMILE KID,SL05701,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,320000,18.0,Trẻ em,38.0,12.0,Pin,5.0,Nhựa Resin,Việt Nam,"Sp dùng ok, giao hàng tận tình chủ đáo, cảm ơn nhiều"
SMILE KID,SL219LM2,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,320000,12.0,Trẻ em,39.0,12.5,Pin,5.0,Kính Acrylic (thủy tinh hữu cơ),Việt Nam,Rất tốt
MVW,MS06801,VNPAYTGDD4,50000,100000,VNPAY-QR,990000,1990000,24.0,Nam,39.5,8.0,Pin,5.0,Kính Sapphire,Việt Nam,Đồng hồ rất đẹp ưng ý lắm luôn
MVW,ML06002,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1290000,24.0,Nam,40.0,8.0,Pin,5.0,Kính Sapphire,Việt Nam,"Mua xài đc 3 tuần rồi. Mua khi sale còn 490k. Xài tốt, máy đẹp, giao hàng nhanh, nhiệt tình... Nói chung là rất ổn cả về chất và lượng"
KORLEX,KS02101,VNPAYTGDD4,50000,100000,VNPAY-QR,900000,1800000,36.0,Nữ,20.0,9.0,Pin,5.0,Kính khoáng Mineral,Việt Nam,"Hàng đẹp, nhân viên nhiệt tình"
SMILE KID,SL06702,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,349000,24.0,Trẻ em,42.0,16.0,Pin,5.0,Nhựa,Việt Nam,"Hình ảnh đẹp, bé mới sử dụng chưa bao lâu nhưng thấy ok."
EDIFICE CASIO,EFR526L1AVUDF,VNPAYTGDD4,50000,100000,VNPAY-QR,2569000,3426000,24.0,Nam,43.8,N/A,Pin,10.0,Kính khoáng Mineral,Nhật Bản,"Ok, nam tính"
ELIO,EL14901,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1090000,24.0,Nữ,32.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,N/A
ELIO,EL09004,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,1290000,24.0,Nữ,20.5,7.9,Pin,3.0,Kính khoáng Mineral,Việt Nam,Nhân viên phục vụ tốt
ELIO,ES12902,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1290000,24.0,Nữ,28.5,7.9,Pin,3.0,Kính khoáng Mineral,Việt Nam,Tôi rất thích đồng hồ này.
CASIO,MTP1370D1A1VDF,VNPAYTGDD4,50000,100000,VNPAY-QR,1323000,1764000,24.0,Nam,40.0,8.8,Pin,5.0,Kính khoáng Mineral,Nhật Bản,"Chế độ bảo hành quá tệ, sẽ không bao giờ mua tgdđ nữa"
CASIO,MTPV004G7BUDF,VNPAYTGDD4,50000,100000,VNPAY-QR,1089000,1453000,24.0,Nam,41.5,N/A,Pin,3.0,Kính khoáng Mineral,Nhật Bản,Sản phẩm ok và hài lòng
CASIO,AE1300WH8AVDF,VNPAYTGDD4,50000,100000,VNPAY-QR,938000,1251000,120.0,Nam,42.0,12.5,Pin,10.0,Nhựa,Nhật Bản,Đồng hồ ok đẹp nha
MVW,ML07001,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1290000,36.0,Nam,40.0,8.0,Pin,5.0,Kính khoáng Mineral,Việt Nam,Lên tay đẹp lắm
SMILE KID,SL13205,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,360000,18.0,Trẻ em,47.2,14.0,Pin,3.0,Nhựa,Việt Nam,"mới mua đầu tháng 112023 chiếc này mà giờ ngày 23122023 đã gãy kim đồng hồ.Khuyên thật lòng các bạn cân nhắc mua đồng hồ trẻ e tại đây.Mình mua chiếc này thứ 2 rồi.cái thứ 1 chưa đầy 3 tháng đứt quai. Ra TGDD k bảo hành, hệ thống lỗi...nói do lỗi ng dùng mà trong khi còn thời gian bảo hành.chiếc này thứ 2 hỗ trợ 50 nhưng chưa đầy 2 tháng đã rớt kim"
MVW Sport,ML06602,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1290000,36.0,Nam,42.0,11.0,Pin,5.0,Kính khoáng Mineral,Việt Nam,"Giao hàng đã hết pin, ra cửa hàng thì nói gửi về hãng thay. Làm ăn mất thời gian quá, giờ chuyển qua chơi FPT, cạch mặt TGDD."
ELIO Flower,ES11101,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,990000,24.0,Nữ,28.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,Xinh
SMILE KID,SL223L6,VNPAYTGDD4,50000,100000,VNPAY-QR,190000,290000,12.0,Trẻ em,34.0,10.0,Pin,5.0,Nhựa,N/A,đẹp và chất lượng
ELIO,EL07602,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,990000,36.0,Nữ,29.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,"Đẹp, nhưng dây đeo không mềm"
ELIO Nàng Thơ,ES10003,VNPAYTGDD4,50000,100000,VNPAY-QR,390000,1090000,24.0,Nữ,26.0,8.5,Pin,3.0,Kính khoáng Mineral,Việt Nam,"Sản phẩm chất lượng, thời trang,giá thành hợp lý. Nhân viên hỗ trợ giúp đỡ nhiệt tình thân thiện,cảm thấy rất hài lòng với sản phẩm mình đã chọn! Cảm ơn chương trình của thế giới di động rất nhiều."
ELIO Nàng Thơ,EC01002,VNPAYTGDD4,50000,100000,VNPAY-QR,320000,990000,24.0,Nữ,32.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,Rất thích
MVW Sport,ML06401,VNPAYTGDD4,50000,100000,VNPAY-QR,990000,1990000,24.0,Nam,42.0,10.0,Pin,5.0,Kính Sapphire,Việt Nam,Sản phẩm tốt lắm nha
ELIO,ES04901,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1090000,36.0,Nữ,36.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,Đồng hồ đẹp. Rẻ. Ủng hộ shop lần sau
MVW,ML05802,VNPAYTGDD4,50000,100000,VNPAY-QR,990000,1990000,24.0,Nam,40.0,9.0,Pin,5.0,Kính Sapphire,Việt Nam,"Mẫu nhìn ngoài đẹp, nhưng mình hơi chê hộp kiểu này nhìn k sang lắm và khó mở nữa"
ELIO Nàng Thơ,ES03901,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1190000,36.0,Nữ,24.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,Đồng hồ màu sắc đẹp. Hiện tại đang chạy tốt chưa có vấn đề gì
SMILE KID,SL04901,VNPAYTGDD4,50000,100000,VNPAY-QR,190000,290000,24.0,Trẻ em,27.0,10.0,Pin,3.0,Kính Acrylic (thủy tinh hữu cơ),Việt Nam,Rất tốt
CASIO,AEQ110BW9AVDF,VNPAYTGDD4,50000,100000,VNPAY-QR,1210000,1934000,120.0,Nam,46.6,16.6,Pin,10.0,Nhựa Resin,Nhật Bản,"Đồng hồ đẹp , chất cực êm , chống nước tốt"
SMILE KID,SL02301,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,350000,18.0,Trẻ em,37.0,14.0,Pin,5.0,Nhựa Resin,Việt Nam,Đồng hồ rất đẹp
CASIO,F91WM9ADF,VNPAYTGDD4,50000,100000,VNPAY-QR,420000,623000,84.0,Nam,33.0,8.5,Pin,3.0,Nhựa Resin,Nhật Bản,đẹp xinh lung linh
GSHOCK 5600,DW5600MS1DR,VNPAYTGDD4,50000,100000,VNPAY-QR,2643000,3524000,36.0,Nam,43.5,13.4,Pin,20.0,Kính khoáng Mineral,Nhật Bản,"Mình săn được giá sale đẹp như Liên Xô. Nhận hàng mới tinh nguyên seal, dùng rất tốt, thiết kế này của gshock là huyền thoại rồi."
CASIO,LTPV002G9AUDF,VNPAYTGDD4,50000,100000,VNPAY-QR,917000,1411000,36.0,Nữ,25.0,9.0,Pin,3.0,Kính khoáng Mineral,Nhật Bản,Khá ưng
ELIO Nàng Thơ,ES04401,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1090000,36.0,Nữ,28.0,9.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,"đồng hồ đẹp, bạn nữ tư vấn ổn, gói quà rất xinh xắn, sẽ tiếp tục ủng hộ TGDD cho lân mua tiếp theo"
ELIO Elegant Lady,ES16402,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1290000,24.0,Nữ,28.0,7.9,Pin,3.0,Kính khoáng Mineral,Việt Nam,N/A
CASIO,AE1500WH1AVDF,VNPAYTGDD4,50000,100000,VNPAY-QR,971000,1295000,120.0,Nam,51.2,15.7,Pin,10.0,Nhựa,Nhật Bản,"Đẹp, ai thích thì mua, ai sợ thì đi về"
MVW Galaxy,MSA08802S2,VNPAYTGDD4,50000,100000,VNPAY-QR,1990000,3990000,N/A,Nam,43.0,12.4,Cơ tự động,5.0,Kính Sapphire,Việt Nam,Sử dụng lâu mới biết dc ạ
SKMEI,SK10101,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,350000,18.0,Trẻ em,49.0,15.0,Pin,5.0,Nhựa Resin,Trung Quốc,Đẹp
CASIO,WS1400H1BVDF,VNPAYTGDD4,50000,100000,VNPAY-QR,886000,1182000,120.0,Nam,44.5,13.4,Pin,10.0,Nhựa,Nhật Bản,cho mình hỏi cách bật tiếng chio đồng hồ chớ giờ nó tắt tiếng không thể nghe báo thưucs được
MVW,ML06801,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1290000,36.0,Nam,41.0,10.0,Pin,5.0,Kính khoáng Mineral,Việt Nam,Đeo đẹp lắm nha
ELIO,EL11101,VNPAYTGDD4,50000,100000,VNPAY-QR,390000,1290000,24.0,Nữ,29.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,TÔI RẤT HÀI LÒNG VỀ SP .RẤT ĐEP VÀ THỜI TRANG GIÁ CẢ HƠP LÝ
ELIO,ES11301,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1090000,24.0,Nữ,33.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,"Mua 3 chiếc 1 chiếc hết pin ,1 chiếc chạy chậm"
ELIO,EL09602,VNPAYTGDD4,50000,100000,VNPAY-QR,890000,1390000,24.0,Nam,42.0,9.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,Rất tốt
CASIO,MTPV300BL5AUDF,VNPAYTGDD4,50000,100000,VNPAY-QR,1210000,1865000,24.0,Nam,41.5,8.6,Pin,5.0,Kính khoáng Mineral,Nhật Bản,"Đồng hồ đẹp, tốt"
ELIO,EL08502,VNPAYTGDD4,50000,100000,VNPAY-QR,390000,1190000,24.0,Nữ,21.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,Sản phẩm tốt
ELIO Nàng Thơ,EL05302,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,990000,36.0,Nữ,33.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,Mẫu mình thích nên mình thấy sp rất tốt.
MVW,ML06101,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1290000,24.0,Nam,42.0,9.5,Pin,5.0,Kính Sapphire,Việt Nam,Tốt trong tầm giá
ELIO Nắng Xuân,EL02801,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1090000,36.0,Nữ,33.0,9.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,"Đồng hồ xinh xắn, màu đậm hơn trong hình nên không thích lắm"
CASIO,MTPV006L7BUDF,VNPAYTGDD4,50000,100000,VNPAY-QR,697000,930000,24.0,Nam,38.0,10.0,Pin,3.0,Kính khoáng Mineral,Nhật Bản,"Độ hoàn thiện rất tốtThiết kế rất đẹp, phong cách cổ điển nhưng cũng khá khó phối đồ nếu ko biết về thời trangMặt kính khoáng nên sẽ dễ bị trầy, nên dùng thêm miếng dán bảo vệDa tổng hợp nên sẽ hơi cứng, dùng mau hỏngdùng 1tg sẽ cần phải thay da vì mặt đồng hồ rất bền còn da thì koBù lại giá rất hợp lí, vừa túi tiền, nếu ko phải nói là quá hờigiá ở phân khúc này mà thiết kế, chất lượng, độ hoàn thiện quá tốt"
Q&Q,A212J004Y,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,460000,36.0,Unisex,38.0,12.0,Pin,10.0,Kính Acrylic (thủy tinh hữu cơ),Nhật Bản,"Đẹp, tốt
Hợp lý với giá cả"
ELIO,EL01101,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,990000,12.0,Nữ,35.7,9.7,Pin,3.0,Kính khoáng Mineral,Việt Nam,"Mang mấy hôm thấy tạm ổn, đúng giờ. Máy chạy nghe êm, màu sắc đẹp.Hộp máy bị rách, khá xấu. Do m nhờ ng khác nhận dùm nên k để ý. Giá khuyến mãi chưa đến 300k nên chấp nhận dc"
CASIO,LA680WA7DF,VNPAYTGDD4,50000,100000,VNPAY-QR,802000,1234000,24.0,Unisex,28.5,7.3,Pin,3.0,Nhựa,Nhật Bản,Dây không cắt hoặc tháo được vì tay bé quá. Thợ cũng bó tay
CASIO,LTPV001D7BUDF,VNPAYTGDD4,50000,100000,VNPAY-QR,538000,829000,36.0,Nữ,25.2,8.0,Pin,3.0,Kính khoáng Mineral,Nhật Bản,"Giao hàng siêu nhanh, phục vụ tốt còn đồng hồ có bền k thì cần phụ thuộc vào thời gian và người sử dụng"
CASIO,AE1400WH1AVDF,VNPAYTGDD4,50000,100000,VNPAY-QR,1034000,1379000,120.0,Nam,45.4,14.3,Pin,10.0,Nhựa,Nhật Bản,Sản phẩm tốt
MVW,MS06201N,VNPAYTGDD4,50000,100000,VNPAY-QR,1290000,2490000,N/A,Nam,41.0,9.0,Pin,5.0,Kính Sapphire,Việt Nam,N/A
SMILE KID,SL13303,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,350000,18.0,Trẻ em,41.5,15.2,Pin,3.0,Nhựa,Việt Nam,Sp ok dùng khá tốt bh 1 năm yên tâm sd
SMILE KID,SL12703,VNPAYTGDD4,50000,100000,VNPAY-QR,190000,260000,12.0,Trẻ em,42.0,14.5,Pin,3.0,Nhựa,Việt Nam,"Dễ sử dụng, bé nhà rất thích"
CASIO,LTPV001L7BUDF,VNPAYTGDD4,50000,100000,VNPAY-QR,470000,724000,36.0,Nữ,25.1,7.8,Pin,3.0,Kính khoáng Mineral,Nhật Bản,Oke
SMILE KID,SL13202,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,360000,18.0,Trẻ em,47.2,14.0,Pin,3.0,Nhựa,Việt Nam,Đồng  ho  đẹp  tốt  thời trang nữa
MVW,MS08402,VNPAYTGDD4,50000,100000,VNPAY-QR,1290000,2250000,18.0,Nam,40.0,8.5,Pin,5.0,Kính khoáng Mineral,Việt Nam,Đẹp kháng nước khá tốt. Bạn nhân viên nhiệt tình thiệt sự hết hàng còn chạy đi lấy về nữa.
CASIO,W219H2AVDF,VNPAYTGDD4,50000,100000,VNPAY-QR,670000,894000,84.0,Nam,47.0,13.9,Pin,5.0,Nhựa,Nhật Bản,Mẫu mã đẹp .
ELIO,EL10602,VNPAYTGDD4,50000,100000,VNPAY-QR,490000,890000,24.0,Nam,43.0,11.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,Sản phẩm tốt
MVW,ML07002,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1290000,36.0,Nam,40.0,8.0,Pin,5.0,Kính khoáng Mineral,Việt Nam,"Đồng hồ đẹp, hiện tại rất ổn. Anh nhân viên giao hàng rất lịch sự và vui vẻ. Rất hài lòng"
ELIO Flower,ES12701,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1290000,24.0,Nữ,29.5,8.1,Pin,3.0,Kính khoáng Mineral,Việt Nam,Khá đẹp
ELIO Flower,ES12002,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1190000,24.0,Nữ,30.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,Tốt
CASIO,LTP1274G7ADF,VNPAYTGDD4,50000,100000,VNPAY-QR,1015000,1563000,24.0,Nữ,26.0,8.0,Pin,3.0,Kính khoáng Mineral,Nhật Bản,Đồng hồ mua mùng 1 tặng vợ đến mùng 5 thì hết chạy. Cười ra nước mắt với niềm tin chất lượng đmx
MVW,ML05801,VNPAYTGDD4,50000,100000,VNPAY-QR,990000,1990000,24.0,Nam,40.0,9.0,Pin,5.0,Kính Sapphire,Việt Nam,Ngon với tầm giá . So với thương hiệu khác . Chỉ có điều thương hiệu ít ai biết
CASIO,MTPV005L1B5UDF,VNPAYTGDD4,50000,100000,VNPAY-QR,588000,784000,36.0,Nam,40.0,8.1,Pin,1.0,Kính khoáng Mineral,Nhật Bản,Nhân viên phục vụ tốt
SMILE KID,SL223L4,VNPAYTGDD4,50000,100000,VNPAY-QR,190000,290000,12.0,Trẻ em,34.0,11.0,Pin,5.0,Nhựa,N/A,Sản phẩm tốt có điều dây rất dễ bám bẩn
SMILE KID,SL414010SK,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,390000,18.0,Trẻ em,38.0,14.0,Pin,5.0,Nhựa Resin,Việt Nam,N/A
MVW,MS08502,VNPAYTGDD4,50000,100000,VNPAY-QR,1290000,2400000,18.0,Nam,43.0,9.1,Pin,5.0,Kính khoáng Mineral,Việt Nam,Đẹp nên mua
SMILE KID,SL40001SG,VNPAYTGDD4,50000,100000,VNPAY-QR,120000,190000,12.0,Trẻ em,36.0,14.0,Pin,3.0,Nhựa PMMA,Việt Nam,N/A
SMILE KID,SL08201,VNPAYTGDD4,50000,100000,VNPAY-QR,190000,250000,12.0,Trẻ em,38.0,14.0,Pin,3.0,Nhựa PMMA,Việt Nam,Rất tốt
CASIO,LW2044ADF,VNPAYTGDD4,50000,100000,VNPAY-QR,702000,1081000,36.0,Nữ,35.0,9.4,Pin,5.0,Nhựa,Nhật Bản,Rất oke ạ.. thời trang
CASIO,W800H1AVDF,VNPAYTGDD4,50000,100000,VNPAY-QR,703000,938000,120.0,Nam,36.8,12.5,Pin,10.0,Nhựa Resin,Nhật Bản,"Nhìn rất đẹp và rõ, còn độ bền cũng như chống nước thì phải sử dụng 1 thời gian xem sao."
CASIO,AE1200WHD1AVDF,VNPAYTGDD4,50000,100000,VNPAY-QR,1129000,1506000,120.0,Nam,45.0,12.5,Pin,10.0,Nhựa,Nhật Bản,tốt nên mua
CASIO,W800HG9AVDF,VNPAYTGDD4,50000,100000,VNPAY-QR,703000,938000,120.0,Nam,36.8,13.4,Pin,10.0,Nhựa,Nhật Bản,"Theo cảm nhận riêng của mình thì con hàng ngon trong tầm giá. Chênh lệch thời gian tầm 12 giây. Setting thời gian khá dễ. Hàng giao nhanh, nhận trong ngày, bạn shipper nhiệt tình"
CASIO,W218H1AVDF,VNPAYTGDD4,50000,100000,VNPAY-QR,629000,839000,84.0,Nam,43.0,11.0,Pin,5.0,Nhựa Resin,Nhật Bản,"Lựa chọn tối ưu giá và chất lượng. Rẻ, bền đẹp. Không có gì để chê, đeo trong môi trường thông thường như mình không biết chừng nào nó mới hư"
ELIO Flower,EL10803,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,990000,24.0,Nữ,32.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,"Đẹp, chất lượng"
SMILE KID,SL08202,VNPAYTGDD4,50000,100000,VNPAY-QR,190000,250000,12.0,Trẻ em,38.0,14.0,Pin,3.0,Nhựa PMMA,Việt Nam,tốt
SMILE KID,SL221L2,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,320000,12.0,Trẻ em,40.0,14.0,Pin,5.0,Kính Acrylic (thủy tinh hữu cơ),Việt Nam,"Đặt mua hàng mới trên web mà ra cửa hàng bán cho cái bị lỗi nút, cửa hàng biết rõ tình trạng bị lỗi nút nhưng vẫn cố tình chích keo vào rồi bán cho khách. Về nhà muốn tắt báo thức mà bấm nút reset mãi không được, lấy đèn soi vào thì thấy dấu chích keo trong đấy.Mà lạ là mua đồng hồ mới nhưng lại được bán cho cái đồng hồ đã được cài sẵn báo thức. Qua mặt khách hàng như này thì thật sự rất tệ. Mua về làm quà cho đứa em mà làm mất vui, cảm giác không có sự tôn trọng khách hàng, có 120.000 cũng gian dối thì quá là tệ"
SMILE KID,SL40004SG,VNPAYTGDD4,50000,100000,VNPAY-QR,120000,190000,12.0,Trẻ em,36.0,14.0,Pin,3.0,Nhựa PMMA,Việt Nam,N/A
SMILE KID,SL40003SG,VNPAYTGDD4,50000,100000,VNPAY-QR,120000,190000,12.0,Trẻ em,36.0,14.0,Pin,3.0,Nhựa PMMA,Việt Nam,N/A
SMILE KID,SL40002SG,VNPAYTGDD4,50000,100000,VNPAY-QR,120000,190000,12.0,Trẻ em,36.0,14.0,Pin,3.0,Nhựa PMMA,Việt Nam,N/A
SMILE KID,SL221L1,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,320000,12.0,Trẻ em,40.0,14.0,Pin,5.0,Kính Acrylic (thủy tinh hữu cơ),Việt Nam,Sản phẩm đúng màu và chất lượng như miêu tả
SMILE KID,SL3814,VNPAYTGDD4,50000,100000,VNPAY-QR,190000,290000,36.0,Trẻ em,34.0,14.0,Pin,3.0,Kính Acrylic (thủy tinh hữu cơ),Việt Nam,Tốt
SMILE KID,SL3812,VNPAYTGDD4,50000,100000,VNPAY-QR,190000,290000,36.0,Trẻ em,34.0,14.0,Pin,3.0,Kính Acrylic (thủy tinh hữu cơ),Việt Nam,Sản phẩm rất tốt
MVW,ML04801N,VNPAYTGDD4,50000,100000,VNPAY-QR,990000,1990000,24.0,Nam,42.0,11.0,Pin,5.0,Kính Sapphire,Việt Nam,N/A
EYKI,EYL01303,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1090000,24.0,Nữ,35.0,9.3,Pin,3.0,Kính khoáng Mineral,Trung Quốc,N/A
MVW,ML05702,VNPAYTGDD4,50000,100000,VNPAY-QR,990000,1990000,24.0,Nam,42.0,8.0,Pin,5.0,Kính Sapphire,Việt Nam,"Mới mua đc 2 ngày, giờ mang ra đeo, k chỉnh đc lịch thứ"
ELIO Set quà,ES14803,VNPAYTGDD4,50000,100000,VNPAY-QR,590000,1390000,24.0,Nữ,23.0,7.7,Pin,3.0,Kính khoáng Mineral,Việt Nam,N/A
CASIO,LTPV002GL7BUDF,VNPAYTGDD4,50000,100000,VNPAY-QR,577000,889000,24.0,Nữ,25.0,9.2,Pin,3.0,Kính khoáng Mineral,Nhật Bản,Nhân viên nhiệt tình
CASIO,MTP1183G7ADF,VNPAYTGDD4,50000,100000,VNPAY-QR,1292000,1723000,24.0,Nam,38.5,N/A,Pin,3.0,Kính khoáng Mineral,Nhật Bản,N/A
Q&Q,S396J201Y,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1190000,36.0,Nam,40.0,10.0,Pin,5.0,Kính khoáng Mineral,Nhật Bản,Rất tốt
ELIO,ES10001,VNPAYTGDD4,50000,100000,VNPAY-QR,390000,1090000,24.0,Nữ,26.0,8.5,Pin,3.0,Kính khoáng Mineral,Việt Nam,Mới mua mà cứ bị rơi rớt hoài. Đem lại sửa rồi về vẫn bị rớt.
Q&Q,M153J009Y,VNPAYTGDD4,50000,100000,VNPAY-QR,490000,890000,36.0,Unisex,39.0,13.0,Pin,10.0,Kính Acrylic (thủy tinh hữu cơ),Nhật Bản,Mặt hơi nhỏ. Phù hợp với trẻ tiểu học hơn...
CASIO,LTPV006GL7BUDF,VNPAYTGDD4,50000,100000,VNPAY-QR,673000,1036000,36.0,Nữ,25.0,9.2,Pin,3.0,Kính khoáng Mineral,Nhật Bản,"Đồng hồ chỉnh giờ được nhân viên chỉnh,nhưng sau 2 lần chỉnh thì giờ nó vẫn hiện ngày mồng 25nay đã mồng 35, không biết nguyên tắt giờ củ đồng hồ là sao?"
ELIO,EL00401,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,990000,12.0,Nữ,32.5,8.9,Pin,3.0,Kính khoáng Mineral,Việt Nam,"Đồng hồ thời trang,dây da hơi cứng.So với giá tiền thì Ok"
CASIO,LTPV002L1BUDF,VNPAYTGDD4,50000,100000,VNPAY-QR,590000,829000,36.0,Nữ,25.0,9.5,Pin,3.0,Kính khoáng Mineral,Nhật Bản,Đồng hồ đẹp dễ chỉnh
CASIO,LTP1230D7CDF,VNPAYTGDD4,50000,100000,VNPAY-QR,929000,1430000,24.0,Nữ,23.0,8.5,Pin,3.0,Kính khoáng Mineral,Nhật Bản,"Mua 1 cái đầu tiên cắt bớt dây đợi hơn 1h k được, hôm sau mang cái khác qua xài đc 25 ngày hết pin. Bó tay, đem thay pin phải gửi hãng 15 ngày. Oải lun"
